customer_id,age,tenure_months,monthly_charge,total_charge,contract_type,payment_method,internet_service,support_calls,late_payments,churn
CUST-000001,23.0,64,82.31,5383.34,one-year,electronic-check,fiber,1,0,0
CUST-000002,66.0,35,80.6,2655.74,one-year,electronic-check,fiber,1,0,0
CUST-000003,59.0,71,111.14,7163.42,one-year,credit-card,fiber,0,1,0
CUST-000004,45.0,55,98.16,5257.21,two-year,electronic-check,fiber,3,1,0
CUST-000005,45.0,47,22.92,1037.6,one-year,mailed-check,dsl,3,0,0
CUST-000006,,66,25.44,1720.18,month-to-month,electronic-check,dsl,1,1,0
CUST-000007,23.0,38,86.17,3287.49,one-year,electronic-check,fiber,0,1,0
CUST-000008,61.0,52,73.48,3931.55,month-to-month,electronic-check,dsl,0,3,0
CUST-000009,30.0,21,48.62,1026.02,month-to-month,electronic-check,fiber,5,2,1
CUST-000010,23.0,70,66.05,4573.43,two-year,electronic-check,dsl,3,3,0
CUST-000011,51.0,45,103.37,4488.98,one-year,bank-transfer,dsl,0,1,0
CUST-000012,79.0,57,110.93,6625.78,two-year,electronic-check,dsl,1,1,0
CUST-000013,64.0,34,81.73,2898.47,month-to-month,credit-card,dsl,1,0,0
CUST-000014,65.0,63,62.39,4026.1,month-to-month,mailed-check,none,0,0,0
CUST-000015,63.0,6,49.78,302.21,month-to-month,credit-card,fiber,0,1,0
CUST-000016,67.0,9,,681.49,month-to-month,bank-transfer,fiber,4,2,0
CUST-000017,50.0,37,54.62,1867.67,month-to-month,credit-card,fiber,1,2,0
CUST-000018,26.0,53,82.05,4474.0,month-to-month,electronic-check,dsl,0,0,0
CUST-000019,70.0,59,94.43,4913.05,month-to-month,electronic-check,dsl,3,0,0
CUST-000020,46.0,32,27.27,801.66,two-year,mailed-check,dsl,1,0,0
CUST-000021,49.0,47,20.12,897.07,month-to-month,credit-card,dsl,1,0,0
CUST-000022,41.0,40,43.35,1698.71,month-to-month,electronic-check,fiber,2,1,0
CUST-000023,29.0,70,118.4,8083.7,one-year,credit-card,dsl,1,0,0
CUST-000024,76.0,48,91.09,3978.32,month-to-month,bank-transfer,dsl,0,0,0
CUST-000025,67.0,31,38.92,1083.23,two-year,bank-transfer,fiber,0,1,0
CUST-000026,58.0,70,117.93,7576.5,one-year,credit-card,fiber,4,0,0
CUST-000027,,8,71.7,538.77,month-to-month,mailed-check,fiber,0,0,0
CUST-000028,69.0,71,72.37,4533.95,one-year,bank-transfer,fiber,1,3,0
CUST-000029,52.0,12,122.91,1471.55,one-year,bank-transfer,dsl,2,3,0
CUST-000030,,21,26.54,513.93,one-year,electronic-check,none,1,3,0
CUST-000031,46.0,60,43.67,,two-year,electronic-check,dsl,1,1,0
CUST-000032,32.0,53,84.43,4192.58,one-year,mailed-check,fiber,0,1,0
CUST-000033,23.0,70,41.5,2809.17,one-year,credit-card,dsl,0,1,0
CUST-000034,52.0,54,94.75,5250.38,month-to-month,credit-card,dsl,3,0,0
CUST-000035,73.0,46,43.55,1813.78,one-year,credit-card,fiber,0,0,0
CUST-000036,22.0,25,30.91,724.78,two-year,electronic-check,dsl,1,0,0
CUST-000037,72.0,1,42.77,42.67,one-year,bank-transfer,fiber,0,2,0
CUST-000038,70.0,9,66.5,531.18,one-year,,fiber,1,0,0
CUST-000039,35.0,22,39.38,884.64,month-to-month,bank-transfer,fiber,0,2,0
CUST-000040,57.0,3,34.82,109.01,one-year,credit-card,fiber,2,0,0
CUST-000041,28.0,37,114.63,4170.47,two-year,electronic-check,dsl,2,1,0
CUST-000042,65.0,56,55.24,3225.24,month-to-month,electronic-check,fiber,0,0,0
CUST-000043,62.0,70,59.68,3969.64,month-to-month,bank-transfer,fiber,3,0,0
CUST-000044,40.0,36,26.08,892.46,month-to-month,electronic-check,fiber,0,0,0
CUST-000045,22.0,64,59.31,3408.9,month-to-month,electronic-check,fiber,2,0,0
CUST-000046,79.0,71,49.13,3090.66,,bank-transfer,fiber,1,0,0
CUST-000047,46.0,62,87.15,4979.5,month-to-month,credit-card,fiber,5,2,1
CUST-000048,74.0,34,42.59,1391.99,month-to-month,credit-card,dsl,1,1,0
CUST-000049,60.0,24,117.72,2730.09,one-year,electronic-check,fiber,0,0,0
CUST-000050,67.0,71,122.26,7959.88,one-year,bank-transfer,dsl,1,0,0
CUST-000051,65.0,18,30.98,548.82,one-year,electronic-check,fiber,3,0,0
CUST-000052,30.0,30,31.81,869.18,one-year,electronic-check,dsl,0,1,0
CUST-000053,40.0,6,32.69,183.48,one-year,electronic-check,dsl,1,0,0
CUST-000054,47.0,58,88.15,4669.28,one-year,electronic-check,fiber,0,2,0
CUST-000055,49.0,47,33.42,1568.28,one-year,electronic-check,fiber,2,1,0
CUST-000056,20.0,7,113.76,770.69,month-to-month,electronic-check,none,0,2,1
CUST-000057,52.0,16,102.97,1655.98,one-year,electronic-check,fiber,1,0,0
CUST-000058,27.0,40,110.18,3921.23,month-to-month,credit-card,dsl,0,1,0
CUST-000059,64.0,39,77.87,2892.1,month-to-month,bank-transfer,fiber,1,0,1
CUST-000060,61.0,58,129.63,7852.24,month-to-month,electronic-check,fiber,1,1,1
CUST-000061,76.0,20,,442.07,two-year,electronic-check,dsl,1,1,0
CUST-000062,64.0,67,64.14,4087.34,one-year,mailed-check,dsl,1,1,0
CUST-000063,41.0,33,55.63,1628.1,month-to-month,mailed-check,fiber,1,0,0
CUST-000064,78.0,60,124.35,6751.69,one-year,bank-transfer,dsl,0,1,0
CUST-000065,43.0,18,83.45,1439.96,month-to-month,electronic-check,dsl,1,4,1
CUST-000066,38.0,3,108.68,295.65,one-year,credit-card,fiber,0,2,0
CUST-000067,75.0,4,38.74,150.03,two-year,electronic-check,fiber,0,1,0
CUST-000068,41.0,27,127.65,3573.6,one-year,electronic-check,fiber,3,1,0
CUST-000069,22.0,69,74.85,4720.85,one-year,credit-card,fiber,2,1,0
CUST-000070,47.0,4,74.3,266.95,month-to-month,credit-card,dsl,2,1,0
CUST-000071,68.0,27,126.8,3493.09,month-to-month,credit-card,fiber,1,1,1
CUST-000072,29.0,8,61.88,474.37,two-year,credit-card,fiber,0,1,0
CUST-000073,47.0,68,63.73,4463.84,one-year,electronic-check,dsl,1,0,0
CUST-000074,26.0,49,84.32,3850.89,month-to-month,electronic-check,,0,2,0
CUST-000075,61.0,55,34.09,1849.98,month-to-month,bank-transfer,dsl,3,1,0
CUST-000076,47.0,52,55.32,2982.97,month-to-month,bank-transfer,dsl,3,1,0
CUST-000077,38.0,48,41.25,1800.19,month-to-month,electronic-check,fiber,1,1,0
CUST-000078,32.0,56,31.36,1784.48,month-to-month,credit-card,dsl,3,0,0
CUST-000079,53.0,1,115.28,113.82,month-to-month,electronic-check,fiber,1,0,1
CUST-000080,60.0,63,84.83,5441.56,two-year,electronic-check,fiber,3,0,0
CUST-000081,77.0,54,59.45,2918.22,month-to-month,bank-transfer,fiber,1,2,0
CUST-000082,45.0,54,64.95,3345.24,month-to-month,electronic-check,dsl,3,2,0
CUST-000083,28.0,29,67.47,1764.69,month-to-month,credit-card,dsl,2,0,0
CUST-000084,70.0,58,89.65,5424.4,month-to-month,credit-card,fiber,3,1,0
CUST-000085,57.0,28,121.94,3040.99,one-year,electronic-check,dsl,0,2,0
CUST-000086,62.0,4,122.61,437.05,month-to-month,electronic-check,dsl,1,1,1
CUST-000087,24.0,66,63.06,4298.0,one-year,electronic-check,fiber,2,1,0
CUST-000088,37.0,17,56.22,889.92,one-year,mailed-check,dsl,3,0,0
CUST-000089,66.0,8,69.62,546.65,month-to-month,credit-card,fiber,1,0,0
CUST-000090,70.0,45,82.47,3447.18,one-year,credit-card,,0,0,0
CUST-000091,45.0,17,70.8,1191.91,two-year,electronic-check,fiber,2,1,0
CUST-000092,68.0,62,92.46,5232.18,month-to-month,credit-card,fiber,0,0,0
CUST-000093,71.0,32,80.98,2482.54,month-to-month,electronic-check,fiber,1,3,0
CUST-000094,42.0,1,,53.66,two-year,credit-card,fiber,2,1,0
CUST-000095,74.0,69,58.03,3750.69,two-year,bank-transfer,dsl,1,1,0
CUST-000096,36.0,38,61.65,2161.82,month-to-month,credit-card,dsl,2,0,0
CUST-000097,33.0,19,30.41,522.23,one-year,electronic-check,fiber,1,4,1
CUST-000098,60.0,49,38.27,1875.31,month-to-month,electronic-check,dsl,0,2,1
CUST-000099,58.0,39,99.54,3527.27,one-year,electronic-check,dsl,1,0,0
CUST-000100,26.0,3,62.8,175.15,month-to-month,credit-card,dsl,1,1,0
CUST-000101,70.0,55,43.6,2247.58,month-to-month,mailed-check,dsl,1,1,0
CUST-000102,30.0,29,81.89,2273.27,one-year,electronic-check,fiber,1,1,0
CUST-000103,68.0,51,103.11,5255.65,two-year,credit-card,fiber,3,0,0
CUST-000104,18.0,65,48.32,2992.4,two-year,bank-transfer,dsl,1,1,0
CUST-000105,68.0,44,110.95,5018.91,month-to-month,electronic-check,dsl,3,2,0
CUST-000106,67.0,49,122.03,,month-to-month,electronic-check,dsl,1,0,0
CUST-000107,67.0,19,85.71,1665.2,two-year,electronic-check,dsl,0,2,0
CUST-000108,59.0,18,93.58,1687.44,two-year,bank-transfer,fiber,1,0,0
CUST-000109,47.0,30,25.78,700.13,month-to-month,credit-card,dsl,0,2,0
CUST-000110,62.0,62,124.01,8044.2,one-year,bank-transfer,fiber,3,0,0
CUST-000111,35.0,38,63.17,2433.39,month-to-month,bank-transfer,fiber,1,0,0
CUST-000112,67.0,26,121.63,3090.79,month-to-month,bank-transfer,,1,0,0
CUST-000113,53.0,57,83.69,4331.89,month-to-month,mailed-check,fiber,3,4,1
CUST-000114,46.0,62,,1156.35,month-to-month,bank-transfer,none,1,1,0
CUST-000115,,65,24.24,1551.08,month-to-month,bank-transfer,fiber,1,0,0
CUST-000116,53.0,22,94.85,1983.94,two-year,bank-transfer,dsl,0,1,0
CUST-000117,20.0,52,81.89,4236.55,month-to-month,bank-transfer,dsl,3,4,1
CUST-000118,26.0,43,22.92,929.69,month-to-month,bank-transfer,dsl,1,0,0
CUST-000119,33.0,33,101.78,3248.52,month-to-month,mailed-check,,0,3,0
CUST-000120,25.0,29,113.74,3008.04,month-to-month,credit-card,fiber,1,0,1
CUST-000121,45.0,9,74.61,608.63,month-to-month,bank-transfer,fiber,1,0,0
CUST-000122,60.0,20,71.23,1271.97,one-year,credit-card,fiber,0,3,0
CUST-000123,59.0,40,20.6,839.94,,bank-transfer,fiber,1,1,0
CUST-000124,,64,106.53,6643.49,one-year,,dsl,2,0,0
CUST-000125,71.0,63,56.38,3697.62,two-year,bank-transfer,fiber,1,0,0
CUST-000126,53.0,14,116.66,1645.35,month-to-month,bank-transfer,fiber,1,1,0
CUST-000127,22.0,49,61.04,3022.93,two-year,mailed-check,fiber,4,0,0
CUST-000128,66.0,7,,555.88,two-year,electronic-check,dsl,5,2,1
CUST-000129,54.0,49,49.74,2482.66,two-year,bank-transfer,dsl,3,0,0
CUST-000130,57.0,25,37.66,979.3,,bank-transfer,fiber,1,3,0
CUST-000131,53.0,33,105.24,3482.28,one-year,mailed-check,dsl,2,2,0
CUST-000132,52.0,52,74.62,3484.26,one-year,mailed-check,dsl,1,2,0
CUST-000133,23.0,31,79.01,2426.47,one-year,credit-card,dsl,2,2,0
CUST-000134,53.0,59,126.2,6704.75,month-to-month,credit-card,fiber,1,1,1
CUST-000135,68.0,39,125.99,4388.48,,electronic-check,dsl,2,3,0
CUST-000136,37.0,72,114.12,8198.51,one-year,mailed-check,,2,3,0
CUST-000137,55.0,46,40.64,1910.41,one-year,electronic-check,fiber,2,0,0
CUST-000138,19.0,22,85.37,1703.48,month-to-month,bank-transfer,dsl,1,1,0
CUST-000139,39.0,56,116.6,5828.36,month-to-month,bank-transfer,dsl,1,0,0
CUST-000140,45.0,30,61.19,1892.07,month-to-month,credit-card,fiber,1,4,1
CUST-000141,79.0,39,31.12,1095.32,month-to-month,electronic-check,dsl,2,1,0
CUST-000142,31.0,10,109.21,967.56,month-to-month,electronic-check,fiber,1,2,1
